Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/04/22,145.36453859239916,146.76934306146904,145.34446838750694,146.1940460205078,1678586,0.0,0.0
2019/04/23,145.83949575564563,146.86969301702482,145.28425671546375,146.83624267578125,1867913,0.0,0.0
2019/04/24,146.50177730059676,147.003495841436,145.8997199348516,146.5552978515625,2450484,0.0,0.0
2019/04/25,132.14592572130317,133.09584215364964,126.83440224893074,127.5836410522461,17516855,0.0,0.0
2019/04/26,127.45654296858294,128.60714935738213,126.6738659514018,128.2191619873047,5371595,0.0,0.0
2019/04/29,128.11880313674706,128.56701330747345,126.93474647583896,127.24247741699219,4548866,0.0,0.0
2019/04/30,127.67732940040074,127.67732940040074,124.79411666002878,126.77423095703125,5431036,0.0,0.0
2019/05/01,126.7608134814781,126.9079827613673,124.37263024875445,124.47296905517578,4566926,0.0,0.0
2019/05/02,123.42274155881006,124.760657721142,122.67350264798961,123.58998107910156,6763260,0.0,0.0
2019/05/03,124.2990429165839,124.88773226045207,123.14843670828812,123.90436553955078,5678249,0.0,0.0
2019/05/06,121.77707929442738,122.49286777062726,120.49937391308136,122.44603729248047,7795050,0.0,0.0
2019/05/07,121.62320139105401,121.68341199663556,118.94736980675054,119.8237075805664,6477058,0.0,0.0
2019/05/08,120.08461157155998,120.7669374143706,119.408963588083,119.46916198730469,3576638,0.0,0.0
2019/05/09,118.60624330942751,118.67314400627848,116.51910027371017,117.25495910644531,6097447,0.0,0.0
2019/05/10,117.0809969536526,117.95732258983888,115.73639098600671,117.64291381835938,5994711,0.0,0.0
2019/05/13,116.35851404700907,116.7866417471231,115.58921731705712,116.44547271728516,7076373,0.0,0.0
2019/05/14,116.92713331378995,118.38545817283092,116.73982362970587,117.20809173583984,4800744,0.0,0.0
2019/05/15,116.4120315171126,117.50242704542806,116.16451123165075,116.47891998291016,3606538,0.0,0.0
2019/05/16,116.6595550615769,116.6595550615769,114.63261086998624,114.93363952636719,4831242,0.0,0.0
2019/05/17,113.72287264561527,113.89680227062453,112.67260482505323,113.1141128540039,5495620,0.0,0.0
